PATH_ID	new_x	new_y
1	360953.76928	4065815.29950
2	360953.76920	4065812.41872
3	360953.74902	4065808.78850
4	360953.67980	4065803.73186
5	360953.68324	4065800.83219
6	360954.02741	4065798.64391
7	360954.39567	4065797.92733
8	360954.98570	4065797.22745
9	360955.95396	4065796.51836
10	360956.93087	4065796.09916
11	360957.72165	4065795.92336
12	360958.97993	4065795.89983
13	360960.51823	4065795.89227
14	360962.50322	4065795.87427
15	360964.63813	4065795.87789
16	360967.52788	4065795.88446
17	360970.16911	4065795.86957
18	360972.08308	4065795.86463
19	360974.69359	4065795.85705
20	360977.28252	4065795.84115
21	360979.94838	4065795.83941
22	360982.56945	4065795.81960
23	360985.20513	4065795.79289
24	360987.38331	4065795.78059
25	360989.38206	4065795.78133
26	360992.32924	4065795.76713
27	360994.99065	4065795.75136
28	360997.02180	4065795.77739
29	360999.02728	4065795.75998
30	361000.12779	4065795.96131
31	361001.07739	4065796.40767
32	361002.14884	4065797.65737
33	361002.42729	4065799.19679
34	361002.43340	4065800.91692
35	361002.44603	4065803.95609
36	361002.45756	4065807.71578
37	361002.47520	4065809.57707
38	361002.51972	4065812.13201
39	361002.46471	4065814.06221
40	361002.42392	4065814.63759
41	361002.10687	4065815.90137
42	361001.49012	4065817.35014
43	361000.41682	4065818.39073
60	360959.84525	4065819.52795
59	360961.53171	4065819.52550
58	360964.54901	4065819.51062
57	360967.07240	4065819.50375
56	360969.63435	4065819.48183
55	360972.66973	4065819.47355
54	360975.92328	4065819.46720
53	360978.90202	4065819.43310
52	360981.11429	4065819.44334
51	360983.17694	4065819.43571
50	360985.84490	4065819.42151
49	360988.17924	4065819.40642
48	360991.15991	4065819.41673
47	360993.35082	4065819.42116
46	360995.90207	4065819.39635
45	360997.38613	4065819.39712
44	360998.27647	4065819.27507
61	360956.83251	4065819.55522
67	360953.81917	4065817.19985
66	360954.12411	4065817.77862
65	360954.52152	4065818.29826
64	360955.00021	4065818.74414
63	360955.54672	4065819.10371
62	360956.14565	4065819.36685
